status,document_id,template_id,seed,item_count,subtotal,total,item_master_count,llm_approved_count,has_llm_approved_items,source_json_exists,metadata_json_exists,clean_png_exists,noisy_png_exists,degradation_metadata_exists,source_json_path,metadata_json_path,clean_png_path,noisy_png_path,degradation_metadata_path,message
success,receipt_v020_conv_001,convenience_store_standard,20262001,5,1450,1450,3,2,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_conv_001_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_conv_001_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_conv_001_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_conv_001_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_conv_001_degradation_metadata.json,
success,receipt_v020_conv_002,convenience_store_standard,20262002,10,2750,2750,8,2,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_conv_002_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_conv_002_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_conv_002_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_conv_002_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_conv_002_degradation_metadata.json,
success,receipt_v020_conv_003,convenience_store_standard,20262003,4,670,670,1,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_conv_003_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_conv_003_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_conv_003_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_conv_003_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_conv_003_degradation_metadata.json,
success,receipt_v020_supermarket_001,supermarket_long,20262004,18,7944,7944,12,6,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_supermarket_001_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_supermarket_001_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_supermarket_001_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_supermarket_001_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_supermarket_001_degradation_metadata.json,
success,receipt_v020_supermarket_002,supermarket_long,20262005,12,3670,3620,9,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_supermarket_002_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_supermarket_002_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_supermarket_002_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_supermarket_002_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_supermarket_002_degradation_metadata.json,
success,receipt_v020_supermarket_003,supermarket_long,20262006,10,4510,4510,7,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_supermarket_003_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_supermarket_003_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_supermarket_003_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_supermarket_003_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_supermarket_003_degradation_metadata.json,
success,receipt_v020_drugstore_001,drugstore_mixed_tax,20262007,12,6730,6730,9,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_drugstore_001_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_drugstore_001_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_drugstore_001_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_drugstore_001_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_drugstore_001_degradation_metadata.json,
success,receipt_v020_drugstore_002,drugstore_mixed_tax,20262008,12,5290,5290,9,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_drugstore_002_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_drugstore_002_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_drugstore_002_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_drugstore_002_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_drugstore_002_degradation_metadata.json,
success,receipt_v020_drugstore_003,drugstore_mixed_tax,20262009,10,6050,6050,7,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_drugstore_003_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_drugstore_003_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_drugstore_003_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_drugstore_003_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_drugstore_003_degradation_metadata.json,
success,receipt_v020_bakery_001,bakery_simple,20262010,8,1378,1378,5,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_bakery_001_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_bakery_001_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_bakery_001_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_bakery_001_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_bakery_001_degradation_metadata.json,
success,receipt_v020_bakery_002,bakery_simple,20262011,9,1650,1650,6,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_bakery_002_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_bakery_002_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_bakery_002_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_bakery_002_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_bakery_002_degradation_metadata.json,
success,receipt_v020_station_001,station_store_narrow,20262012,15,2797,2797,12,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_station_001_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_station_001_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_station_001_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_station_001_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_station_001_degradation_metadata.json,
success,receipt_v020_station_002,station_store_narrow,20262013,16,4846,4846,13,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_station_002_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_station_002_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_station_002_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_station_002_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_station_002_degradation_metadata.json,
success,receipt_v020_station_003,station_store_narrow,20262014,9,2780,2780,6,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_station_003_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_station_003_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_station_003_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_station_003_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_station_003_degradation_metadata.json,
success,receipt_v020_station_004,station_store_narrow,20262015,10,4164,3964,7,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_station_004_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_station_004_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_station_004_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_station_004_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_station_004_degradation_metadata.json,
success,receipt_v020_restaurant_001,restaurant_receipt,20262016,4,5370,5370,1,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_restaurant_001_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_restaurant_001_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_restaurant_001_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_restaurant_001_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_restaurant_001_degradation_metadata.json,
success,receipt_v020_restaurant_002,restaurant_receipt,20262017,6,3700,3700,3,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_restaurant_002_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_restaurant_002_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_restaurant_002_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_restaurant_002_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_restaurant_002_degradation_metadata.json,
success,receipt_v020_parking_001,parking_machine,20262018,1,1750,1750,1,0,False,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_parking_001_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_parking_001_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_parking_001_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_parking_001_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_parking_001_degradation_metadata.json,
success,receipt_v020_cafe_001,cafe_small_receipt,20262019,2,890,890,1,1,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_cafe_001_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_cafe_001_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_cafe_001_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_cafe_001_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_cafe_001_degradation_metadata.json,
success,receipt_v020_cafe_002,cafe_small_receipt,20262020,7,4319,4319,4,3,True,True,True,True,True,True,release_v0.2.0/data/v0.2.0/source_json/receipt_v020_cafe_002_source.json,release_v0.2.0/data/v0.2.0/metadata/receipt_v020_cafe_002_metadata.json,release_v0.2.0/data/v0.2.0/images_clean/receipt_v020_cafe_002_clean.png,release_v0.2.0/data/v0.2.0/images_noisy/receipt_v020_cafe_002_noisy.png,release_v0.2.0/data/v0.2.0/degradation_metadata/receipt_v020_cafe_002_degradation_metadata.json,
